Actual X,Actual Y,Actual Z,Actual surface normal X,Actual surface normal Y,mATERIALCONDITION mat
39.54793,-19.28636,-5.00000,0.89831,-0.43936,0.00013
39.19073,-20.00044,-5.00000,0.89038,-0.45523,-0.00080
38.81210,-20.72477,-5.00000,0.88191,-0.47141,-0.00132
38.41498,-21.45047,-5.00000,0.87251,-0.48859,-0.00210
38.01889,-22.14289,-5.00000,0.86349,-0.50436,-0.00315
37.60066,-22.84419,-5.00000,0.85417,-0.51999,-0.00397
37.16568,-23.54396,-5.00000,0.84432,-0.53584,-0.00456
36.72147,-24.22974,-5.00000,0.83424,-0.55140,-0.00511
36.27054,-24.89865,-5.00000,0.82404,-0.56653,-0.00559
35.79986,-25.56977,-5.00000,0.81330,-0.58185,-0.00608
35.32113,-26.22595,-5.00000,0.80235,-0.59686,-0.00672
34.92643,-26.74840,-5.00000,0.79341,-0.60868,-0.00728
34.47312,-27.32926,-5.00000,0.78322,-0.62174,-0.00783
34.01021,-27.90248,-5.00000,0.77269,-0.63478,-0.00835
33.27410,-28.77490,-5.00000,0.75576,-0.65485,-0.00943
32.74146,-29.37837,-5.00000,0.74368,-0.66854,-0.01032
32.19328,-29.97708,-5.00000,0.73136,-0.68200,-0.01111
31.62831,-30.57184,-5.00000,0.71864,-0.69538,-0.01171
31.04808,-31.16039,-5.00000,0.70550,-0.70871,-0.01213
30.46287,-31.73211,-5.00000,0.69202,-0.72188,-0.01254
29.88440,-32.27651,-5.00000,0.67867,-0.73445,-0.01316
29.28867,-32.81708,-5.00000,0.66533,-0.74655,-0.01377
28.67779,-33.35177,-5.00000,0.65179,-0.75840,-0.01400
28.05005,-33.88107,-5.00000,0.63729,-0.77062,-0.01417
27.42260,-34.39003,-5.00000,0.62269,-0.78247,-0.01478
26.77921,-34.89257,-5.00000,0.60851,-0.79355,-0.01540
26.13321,-35.37896,-5.00000,0.59426,-0.80427,-0.01545
25.48103,-35.85141,-5.00000,0.57885,-0.81544,-0.01560
24.81257,-36.31634,-5.00000,0.56328,-0.82627,-0.01646
24.14664,-36.76190,-5.00000,0.54904,-0.83579,-0.01706
23.46978,-37.19809,-5.00000,0.53406,-0.84545,-0.01682
22.77880,-37.62526,-5.00000,0.51747,-0.85570,-0.01686
22.09611,-38.02962,-5.00000,0.50199,-0.86487,-0.01739
21.38745,-38.43286,-5.00000,0.48703,-0.87339,-0.01717
20.67200,-38.82313,-5.00000,0.47035,-0.88248,-0.01641
19.94150,-39.20299,-5.00000,0.45260,-0.89171,-0.01662
19.20635,-39.56784,-5.00000,0.43683,-0.89954,-0.01696
18.45475,-39.92463,-5.00000,0.42045,-0.90732,-0.01622
17.70905,-40.26128,-5.00000,0.40232,-0.91550,-0.01584
16.96383,-40.58052,-5.00000,0.38554,-0.92269,-0.01617
16.22400,-40.88247,-5.00000,0.36998,-0.92904,-0.01567
15.46988,-41.17461,-5.00000,0.35206,-0.93598,-0.01492
14.70617,-41.45333,-5.00000,0.33394,-0.94259,-0.01519
14.05305,-41.67926,-5.00000,0.32005,-0.94740,-0.01529
13.32938,-41.91702,-5.00000,0.30393,-0.95269,-0.01472
12.60162,-42.14191,-5.00000,0.28655,-0.95806,-0.01445
11.81851,-42.36832,-5.00000,0.26919,-0.96309,-0.01441
11.03151,-42.58087,-5.00000,0.25201,-0.96772,-0.01358
10.23895,-42.77918,-5.00000,0.23330,-0.97241,-0.01272
9.45608,-42.95925,-5.00000,0.21512,-0.97659,-0.01239
8.42193,-43.17429,-5.00000,0.19219,-0.98136,-0.01186
7.60774,-43.32617,-5.00000,0.17434,-0.98469,-0.01077
6.80742,-43.45989,-5.00000,0.15497,-0.98792,-0.00992
5.98975,-43.58013,-5.00000,0.13651,-0.99064,-0.00986
5.16527,-43.68662,-5.00000,0.11930,-0.99286,-0.00878
4.35842,-43.77562,-5.00000,0.09966,-0.99502,-0.00770
3.53328,-43.85025,-5.00000,0.08098,-0.99672,-0.00747
2.73059,-43.90859,-5.00000,0.06373,-0.99797,-0.00654
1.92544,-43.95247,-5.00000,0.04495,-0.99899,-0.00544
1.21313,-43.97849,-5.00000,0.02803,-0.99961,-0.00494
0.50049,-43.99259,-5.00000,0.01178,-0.99993,-0.00478
-0.31214,-43.99516,-5.00000,-0.00549,-0.99998,-0.00396
-1.12881,-43.98313,-5.00000,-0.02421,-0.99971,-0.00254
-1.95027,-43.95525,-5.00000,-0.04364,-0.99905,-0.00156
-2.76673,-43.91189,-5.00000,-0.06206,-0.99807,-0.00097
-3.56897,-43.85522,-5.00000,-0.07915,-0.99686,0.00038
